"pesticide_id";"pesticide_name";"pesticide_code";"price";"quantity";"type";"iupa_number";"mfg_local";"company_name"
341;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Joy Agro Chem Industries Ltd"
342;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Crystal Phosphate Ltd"
343;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Shyam Chemicals Pvt Ltd Mumbai."
344;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Hindustan Insecticide Ltd. "
345;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"India Pesticides Ltd."
346;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Punjab Chemicals and Crop Protection Ltd."
347;"Copper Oxychloride Technical 57% min. (Copper Content)";62;0.0;0.0;"Fungicide";"34";"Y";"Sulphur Mills Limited "
348;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Blue Crystral Agrochemicals Ltd. Bangalore"
349;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Parikh Enterprises Ltd. Ahmedabad."
350;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Travencore Copper Fungicide (P) Limited Ernakulam "
351;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Bluesea Chemicals (I) Pvt Ltd Thirumalabhagom Kerala "
352;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Caress Industries Kavindapadi "
353;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Divya Chemical Manufacturer Kinnigoli Manglore Karnataka "
354;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Krishi Rasayan Kolkotta "
355;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Copper Chemical Manufacturers Puthuppady (Kerala) "
356;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Sudarshan Chemical Industries Ltd. Pune "
357;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Chirag Industries  Karnataka 98.0% min (eq 25 % copper Contents ) 9(4) "
358;"Copper Sulphate Technical 98% min. equivalent to 25% copper content";63;0.0;0.0;"Fungicide";"32";"Y";"Bharath Chemicals Industries Karnataka 98.0% min (eq 25 % copper Contents) 9(4)"
359;"Coumatetralyl Technical 95% w/w min.";64;0.0;0.0;"Insecticide";"180";"N";"M/s Bayer AG Germany"
360;"Cyantraniliprole Technical 93 % Min";65;0.0;0.0;"";"794";"N";"M/s. E.I. Dupont de Nemours and Company Dupont Crop Protection Mobile Manufacturing Center Highway 43 Axis Alabama 36505 USA"
361;"Cyflumetofen Technical 96.0 % min.";66;0.0;0.0;"";"793";"N";"OAT Agrico Co. Ltd. 1-3-1 KandaQgawamachi
Chiyoda-ku Tokoyo Japan (M/s Dhanuka Agri Tech Ltd.)"
362;"Cyenopyrafen 30% w/w SC (FI-WRT)";67;0.0;0.0;"";"";"N";"M/s Nissan chemical industries Ltd. Kowa- Hitotsubashi building 7-1 3- chome Kanda-Nishiki-cho chiyoda-ku Tokyo 101-0054 Japan"
363;"Cynmethylin Tech.";68;0.0;0.0;"";"450";"N";"Dimminico Ltd. Switzerland."
364;"Cyfluthrin Technical 90% min";69;0.0;0.0;"Insecticide";"415";"N";"Bayer Crop Science AG Germany. change to (M/s Bayer AG Germany) (By M/s Bayer CropScience Ltd. in 392nd RC"
365;"Cyfluthrin Technical 90% min";69;0.0;0.0;"Insecticide";"415";"N";"Mitchell Cotts Chemicals UK"
366;"Cyphenothrin Technical 92% min. and 7.2%VP";70;0.0;0.0;"";"417";"N";"Sumitomo Chemicals Osaka Japan."
367;"Cyphenothrin Technical 92% min. and 7.2%VP";70;0.0;0.0;"";"417";"N";"Earth Chemicals Co. Ltd. New Awajmachi Bldg. 3-14 1-chome Chuo-Ku Osaka Japan"
368;"Cyhalofop-butyl Technical 96% min";71;0.0;0.0;"Herbicide";"565";"N";"Dow Chemical Ltd. Japan Dow
Agro Sciences Division Tokyo Japan. (By-M/s Dow Agro Science)"
369;"Cyhalofop-butyl Technical 96% min";71;0.0;0.0;"Herbicide";"565";"N";"Dow Chemical Company Michigan Operation 1790 Building Midland MI USA 48667"
370;"Cyhalothrin Technical";72;0.0;0.0;"";"405";"N";"Sumitomo Chemical"
371;"Cyhalothrin Technical";72;0.0;0.0;"";"405";"N";"M/s. Shijiazhuang Richem
Co. Ltd. No. 148 East Yahua Road Shijiazhuang 050031 Hebei China"
372;"Cyhalothrin Technical";72;0.0;0.0;"";"405";"Y";"Sumitomo Chemical "
373;"Cyhalothrin Technical";72;0.0;0.0;"";"405";"Y";"Crystal Crop protection Pvt. Ltd. "
374;"Cymoxanil Technical 96% min. ";73;0.0;0.0;"Fungicide";"453";"N";"DuPont de Nemours (France) SA DuPont Agriculture Products 82 Wittel Sheim BP 9 Cerney France."
375;"Cymoxanil Technical 96% min. ";73;0.0;0.0;"Fungicide";"453";"Y";"Indofil Indutries Ltd. Andheri(E) "
376;"Cymoxanil Technical 96% min. ";73;0.0;0.0;"Fungicide";"453";"Y";"Best Crop Science LLP Gajraula UP "
377;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"N";"Dow Agro Co. UK (92% min.) "
378;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"N";"Mitchel Cotts Chemicals UK (92% min.) "
379;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"N";"Zeneca Ltd. UK (70% min.) "
380;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"N";"Shell International Chemical Co. Ltd. UK (50%) "
381;"Cypermethrin Technical 92% min 70% min. & 50% min";74;0.0;0.0;"Insecticide";"332";"Y";"BASF India Ltd. Mumbai. "
